t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.00214764098306837,0.00214764098306837,0.00995033085316809,0,0,0,1.01434756511063,-5.66573291814433e-09,-5.66573291814433e-09,0.000629295537217955,0,0,0,2.06951727384879e-06,1.04848774310823e-06
0.4,0.00413618296281896,0.00413618296281896,0.0198026272961797,0,0,0,1.02847281001902,-3.84296414617869e-09,-3.84296414617869e-09,0.00124882513336233,0,0,0,8.09625775610029e-06,4.17024307495484e-06
0.6,0.00597377055847372,0.00597377055847372,0.0295588022415444,0,0,0,1.04237977401909,-2.44243063361044e-09,-2.44243063361044e-09,0.00185878177333869,0,0,0,1.78239152837666e-05,9.32688153062502e-06
0.8,0.00766823037325877,0.00766823037539681,0.0392207131532813,0,0,0,1.0560728544935,-1.3836698823386e-09,-1.38350808196949e-09,0.00245935816526305,0,0,0,3.10165997043741e-05,1.6476763892124e-05
1,0.00922692047429327,0.00922692047609423,0.048790164169432,0,0,0,1.06955642358059,-6.03970806960924e-10,-6.03837237373242e-10,0.00305074594605262,0,0,0,4.74569395443236e-05,2.55756203704072e-05
1.2,0.010656751296432,0.0106567512908477,0.0582689081239758,0,0,0,1.08283479303796,-4.51913437227169e-11,-4.55986554938337e-11,0.00363313411343476,0,0,0,6.69443686906501e-05,3.65770458530076e-05
1.4,0.0119642133384095,0.0119642133384511,0.0676586484738149,0,0,0,1.09591219925789,3.36367093466822e-10,3.36370343904935e-10,0.00420670838671367,0,0,0,8.92935910866762e-05,4.94329135793706e-05
1.6,0.0131554066632862,0.0131554066580671,0.0769610411361284,0,0,0,1.1087927983718,5.77666723266743e-10,5.77299715627186e-10,0.00477165098162071,0,0,0,0.000114333208060288,6.40937268334209e-05
1.8,0.0142360698166543,0.0142360698136551,0.0861776962410524,0,0,0,1.12148066650841,7.13198323098671e-10,7.12991452987352e-10,0.00532814060686911,0,0,0,0.000141904490902944,8.05089207456751e-05
2,0.01521160713604,0.0152116071360243,0.0953101798043249,0,0,0,1.13397980224599,7.66660305118877e-10,7.66660099120464e-10,0.00587635259318888,0,0,0,0.000171860281561744,9.86271234463421e-05
2.2,0.016087114605354,0.0160871146062597,0.104360015324243,0,0,0,1.14629413141414,7.60054583506808e-10,7.60116195246824e-10,0.00641645908365329,0,0,0,0.00020406400758531,0.000118396381650031
2.4,0.0168674036416721,0.0168674036356451,0.113328685307003,0,0,0,1.15842751225142,7.1158789364395e-10,7.11191686271484e-10,0.00694862926456754,0,0,0,0.000238388796976553,0.000139764356945524
2.6,0.0175570230258554,0.0175570230222711,0.122217632724249,0,0,0,1.17038374097301,6.35790320998447e-10,6.35558482578458e-10,0.00747302960772761,0,0,0,0.000274716681538377,0.00016267849650754
2.8,0.0181602789906425,0.0181602789898364,0.131028262406404,0,0,0,1.18216655719211,5.43878382868596e-10,5.43827545062409e-10,0.00798982411074019,0,0,0,0.00031293787809183,0.000187086182018647
3,0.0186812535630909,0.0186812535606373,0.139761942375159,0,0,0,1.1937796491622,4.45037301715495e-10,4.4488429216602e-10,0.0084991745223327,0,0,0,0.000352950138646884,0.000212934859502375
3.2,0.0191238212352316,0.0191238212355211,0.148420005118273,0,0,0,1.20522665849329,3.47161000901347e-10,3.47179500426176e-10,0.00900124054717524,0,0,0,0.000394658161338868,0.000240172152853915
3.4,0.0194916640535885,0.01949166405366,0.157003748809665,0,0,0,1.21651118415762,2.55588797088563e-10,2.55593880262028e-10,0.00949618002597072,0,0,0,0.000437973055027768,0.000268745963417288
3.6,0.0197882944852511,0.0197882944865381,0.165514438477573,0,0,0,1.22763680852466,7.84941312035464e-10,7.85018986881186e-10,0.00998414885193122,0,0,0,0.000482811881704756,0.000298604512759692
3.8,0.0200170276907586,0.020017027690875,0.173953307123438,0,0,0,1.23860700180484,4.96087335707246e-10,4.96093980999202e-10,0.010465302106979,0,0,0,0.000529097081304189,0.000329696610849523
4,0.0201810585566325,0.0201810585563803,0.182321556793955,0,0,0,1.24942528540021,2.6930900261582e-10,2.69294688545058e-10,0.0109397924790493,0,0,0,0.000576756276622337,0.000361971411308337
4.2,0.0201810585566325,0.0201810585563803,0.19062035960865,0,0,0,1.25983716277854,-6.96871637607477e-06,-6.96871639027045e-06,0.0114103953922332,0,0,0,0.000625357735071258,0.000395952490183642
4.4,0.0203270256084522,0.0203270256086084,0.198850858745165,0,0,0,1.27061992330642,2.33354995916868e-10,2.33364669602332e-10,0.0118693893694998,0,0,0,0.000675930131064659,0.000429868843934238
4.6,0.0203270256084522,0.0203270256086084,0.207014169384326,0,0,0,1.28103484071057,8.56546405788271e-07,8.56546415507926e-07,0.0123244750207442,0,0,0,0.000727368355990269,0.000465317124175044
4.8,0.0203270256084522,0.0203270256086084,0.215111379616945,0,0,0,1.29144975811472,5.43730632627821e-06,5.43730633625894e-06,0.0127721117782491,0,0,0,0.00078014006584354,0.000501404882680251
5,0.020196815641687,0.020196815640681,0.22314355131421,0,0,0,1.30152568814654,4.51863845500611e-06,4.51863840228786e-06,0.0132158794052501,0,0,0,0.00083368840909123,0.000538923558981613
5.2,0.0200557838731011,0.0200557838714935,0.231111720963387,0,0,0,1.31156789599197,6.23703815153323e-06,6.23703806707215e-06,0.0136528938419893,0,0,0,0.000888410177565886,0.000577082396456349
5.4,0.0198675503901871,0.0198675503901675,0.2390169004705,0,0,0,1.3214795779461,7.89732559795201e-06,7.8973255979815e-06,0.0140842996375199,0,0,0,0.000944111183189087,0.000616083033923625
5.6,0.0195016358403803,0.0195016358405057,0.246860077931526,0,0,0,1.33091057337976,2.30800795142372e-10,2.30808362006174e-10,0.0145137372868272,0,0,0,0.00100020636885442,0.00065686121569237
5.8,0.0192051352199117,0.0192051352202371,0.254642218373581,0,0,0,1.34051315053017,3.1363950846186e-10,3.13657373511578e-10,0.0149349061549562,0,0,0,0.00105764571026335,0.000697603044202075
6,0.0188689816780025,0.0188689816769845,0.262364264467491,0,0,0,1.34999680775616,4.0570373883303e-10,4.05653379810522e-10,0.0153508591768282,0,0,0,0.00111594438288845,0.00073905766484451
6.2,0.0184951306303382,0.018495130629368,0.27002713721306,0,0,0,1.35936461873454,5.04631739173256e-10,5.04584533010666e-10,0.0157617311684805,0,0,0,0.00117506648222986,0.000781182534058334
6.4,0.0180854540811391,0.0180854540813715,0.27763173659828,0,0,0,1.36861960564272,6.09633076659177e-10,6.09645324674279e-10,0.0161676546842112,0,0,0,0.001234978170394,0.000823935988850202
6.6,0.0176417435798727,0.0176417435793088,0.285178942233662,0,0,0,1.37776473595774,7.18499245343229e-10,7.18472848923457e-10,0.0165687598821342,0,0,0,0.00129564752805062,0.000867277256190902
