t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.00995033085316809,-0.0198896732812865,0.00995033085316809,0,0,0,1.00001098848542,0.00240977485318097,3.05764528280017e-14,0.00240977485318097,0,0,0,8.63028462795498e-06,1.54147860893583e-05
0.4,0.0198026272961797,-0.0395836299585459,0.0198026272961797,0,0,0,1.00002162486763,0.00474233347077599,-4.72490969960493e-14,0.00474233347077599,0,0,0,3.39602304554749e-05,6.05018699297247e-05
0.6,0.0295588022415444,-0.0590856986954461,0.0295588022415444,0,0,0,1.00003190629664,0.00699705085269677,-3.19215140431872e-14,0.00699705085269677,0,0,0,7.51838598154527e-05,0.000133513439689452
0.8,0.0392207131532813,-0.0783995921303261,0.0392207131532813,0,0,0,1.0000418350513,0.00917442674966944,-6.71337985203024e-15,0.00917442674966944,0,0,0,0.000131540303392292,0.00023271606871046
1,0.048790164169432,-0.0975289112597974,0.048790164169432,0,0,0,1.00005141840095,0.0112760553277577,4.36890107424759e-14,0.0112760553277577,0,0,0,0.000202311402875261,0.000356420375738502
1.2,0.0582689081239758,-0.116477149799184,0.0582689081239758,0,0,0,1.00006066828901,0.0133045557807966,-1.93265542458576e-14,0.0133045557807966,0,0,0,0.000286819504999106,0.000503004837571114
1.4,0.0676586484738149,-0.135247698573154,0.0676586484738149,0,0,0,1.0000696007965,0.0152634546720977,1.41449352231149e-14,0.0152634546720977,0,0,0,0.000384425409625543,0.000670934588310001
1.6,0.0769610411361284,-0.153843849887555,0.0769610411361284,0,0,0,1.00007823544493,0.0171570330740849,-1.29445065777389e-14,0.0171570330740849,0,0,0,0.000494526442514381,0.000858775299160583
1.8,0.0861776962410524,-0.172268801819624,0.0861776962410524,0,0,0,1.00008659441156,0.0189901544551142,-1.07899800205757e-14,0.0189901544551142,0,0,0,0.000616554630395975,0.00106520229900318
2,0.0953101798043249,-0.190525662370039,0.0953101798043249,0,0,0,1.00009470172254,0.0207680877521028,-5.9535709695524e-14,0.0207680877521028,0,0,0,0.000749974961725384,0.00128900528461596
2.2,0.104360015324243,-0.20861745343288,0.104360015324243,0,0,0,1.00010258247683,0.022496337168402,2.26572233197331e-14,0.022496337168402,0,0,0,0.00089428372112233,0.00152908913263405
2.4,0.113328685307003,-0.22654711455376,0.113328685307003,0,0,0,1.00011026213867,0.0241804870102398,-4.01484401280072e-14,0.0241804870102398,0,0,0,0.00104900688910325,0.00178447142773178
2.6,0.122217632724249,-0.244317506459666,0.122217632724249,0,0,0,1.00011776592269,0.0258260668469081,1.88737914186277e-15,0.0258260668469081,0,0,0,0.00121369860144458,0.0020542773624575
2.8,0.131028262406404,-0.261931414355473,0.131028262406404,0,0,0,1.00012511828398,0.0274384396757688,-9.58608192824784e-15,0.0274384396757688,0,0,0,0.00138793966453146,0.00233773265476789
3,0.139761942375159,-0.279391550991019,0.139761942375159,0,0,0,1.0001323425158,0.0290227137142396,2.24334439913321e-14,0.0290227137142396,0,0,0,0.00157133612448692,0.00263415508373485
3.2,0.148420005118273,-0.296700559509245,0.148420005118273,0,0,0,1.00013946045101,0.0305836769056276,2.08895400977127e-14,0.0305836769056276,0,0,0,0.00176351788886402,0.00294294517553064
3.4,0.157003748809665,-0.313861016090221,0.157003748809665,0,0,0,1.00014649225805,0.0321257521905912,-2.80817036291126e-14,0.0321257521905912,0,0,0,0.00196413740032235,0.00326357649177975
3.6,0.165514438477573,-0.330875432408393,0.165514438477573,0,0,0,1.00015345631997,0.0336529709694431,6.1409211049579e-16,0.0336529709694431,0,0,0,0.00217286836208407,0.00359558588921158
3.8,0.173953307123438,-0.347746257921377,0.173953307123438,0,0,0,1.00016036918326,0.0351689618893269,1.51267887105178e-14,0.0351689618893269,0,0,0,0.0023894045151404,0.00393856403925911
4,0.182321556793955,-0.364475882008503,0.182321556793955,0,0,0,1.00016724556339,0.0366769520507073,2.01574867908505e-14,0.0366769520507073,0,0,0,0.0026134584672125,0.00429214642271501
4.2,0.19062035960865,-0.381066635976403,0.19062035960865,0,0,0,1.00017409839426,0.0381797778618503,-1.20112253476634e-14,0.0381797778618503,0,0,0,0.00284476057340097,0.00465600494998136
4.4,0.198850858745165,-0.397520794947525,0.198850858745165,0,0,0,1.00018093891028,0.0396799030235331,5.16253706450698e-15,0.0396799030235331,0,0,0,0.00308305786832225,0.00502984030277942
