t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.00214764099097503,0.00995033085316809,0.00214764098590156,0,0,0,1.01434756512152,-5.66522337147515e-09,0.000629295537083041,-5.66562974256535e-09,0,0,0,2.0695172752664e-06,1.04848774165088e-06
0.4,0.00413618295546844,0.0198026272961797,0.00413618294961474,0,0,0,1.02847280999788,-3.84332640620535e-09,0.00124882513361983,-3.8437866260667e-09,0,0,0,8.09625775078146e-06,4.17024308054863e-06
0.6,0.00597377054275235,0.0295588022415444,0.00597377054479689,0,0,0,1.04237977398845,-2.44336513153219e-09,0.00185878177370657,-2.44320805546563e-09,0,0,0,1.7823915272609e-05,9.32688154258546e-06
0.8,0.00766823037008355,0.0392207131532813,0.00766823037437902,0,0,0,1.05607285448908,-1.3838745573742e-09,0.00245935816531529,-1.38354986007391e-09,0,0,0,3.10165997023023e-05,1.64767638943944e-05
1,0.00922692047500147,0.048790164169432,0.00922692047982684,0,0,0,1.06955642358534,-6.039508225128e-10,0.00305074594599675,-6.03593037530603e-10,0,0,0,4.74569395470082e-05,2.55756203673974e-05
1.2,0.0106567512998508,0.0582689081239758,0.0106567512938785,0,0,0,1.08283479304494,-4.49833889755447e-11,0.00363313411335426,-4.54197864215022e-11,0,0,0,6.69443686952238e-05,3.65770458477803e-05
1.4,0.0119642133235249,0.0676586484738149,0.01196421332742,0,0,0,1.09591219922949,3.35444955883515e-10,0.00420670838703722,3.35723262774937e-10,0,0,0,8.92935910657324e-05,4.94329136039281e-05
1.6,0.0131554066750596,0.0769610411361284,0.0131554066714665,0,0,0,1.10879279839971,5.7837892634971e-10,0.00477165098130701,5.78125415812494e-10,0,0,0,0.000114333208083028,6.40937268062322e-05
1.8,0.0142360698071711,0.0861776962410524,0.0142360698129585,0,0,0,1.12148066649699,7.12580775419011e-10,0.00532814060699608,7.12981297916124e-10,0,0,0,0.000141904490892835,8.05089207580493e-05
2,0.0152116071235927,0.0953101798043249,0.0152116071278428,0,0,0,1.1339798022226,7.65873641849629e-10,0.00587635259344716,7.66162475910465e-10,0,0,0,0.000171860281539471,9.86271234742295e-05
2.2,0.0160871146031731,0.104360015324243,0.0160871146041004,0,0,0,1.14629413140916,7.59917933267074e-10,0.00641645908370834,7.59979587074133e-10,0,0,0,0.000204064007580274,0.000118396381656538
2.4,0.0168674036414608,0.113328685307003,0.0168674036426406,0,0,0,1.15842751225928,7.11565544334047e-10,0.00694862926448356,7.11642699196408e-10,0,0,0,0.000238388796984958,0.000139764356934638
2.6,0.0175570230255876,0.122217632724249,0.017557023026643,0,0,0,1.17038374097782,6.35771425522985e-10,0.00747302960767648,6.35839174280978e-10,0,0,0,0.000274716681543767,0.000162678496500396
2.8,0.0181602789873919,0.131028262406404,0.0181602789873166,0,0,0,1.18216655718529,5.4366923376431e-10,0.00798982411081382,5.43663875203493e-10,0,0,0,0.000312937878083847,0.00018708618202963
3,0.0186812535656603,0.139761942375159,0.0186812535639295,0,0,0,1.1937796491692,4.45204846079295e-10,0.00849917452226093,4.45095408880408e-10,0,0,0,0.000352950138655384,0.00021293485949081
3.2,0.0191238212348497,0.148420005118273,0.019123821235559,0,0,0,1.20522665849288,3.47136420303373e-10,0.00900124054718167,3.47179472236919e-10,0,0,0,0.000394658161338351,0.000240172152854915
3.4,0.0194916640522323,0.157003748809665,0.0194916640517502,0,0,0,1.21651118415365,2.55497271343247e-10,0.00949618002601512,2.55466767965645e-10,0,0,0,0.000437973055022626,0.000268745963425121
3.6,0.0197882944851969,0.165514438477573,0.0197882944850741,0,0,0,1.22763680852279,7.84932558187124e-10,0.00998414885195327,7.84923930973597e-10,0,0,0,0.000482811881702286,0.000298604512763746
3.8,0.0200170276919358,0.173953307123438,0.0200170276922962,0,0,0,1.23860700180806,4.96167064465564e-10,0.0104653021069474,4.96187010749771e-10,0,0,0,0.000529097081308562,0.00032969661084313
4,0.0201810585576787,0.182321556793955,0.0201810585576271,0,0,0,1.24942528540307,2.69380549984544e-10,0.0109397924790224,2.69375773423453e-10,0,0,0,0.000576756276626312,0.000361971411302561
4.2,0.0201810585576787,0.19062035960865,0.0201810585576271,0,0,0,1.25983716278143,-6.96871630419087e-06,0.0114103953922066,-6.96871630892276e-06,0,0,0,0.000625357735075333,0.000395952490177679
4.4,0.0203270256090466,0.198850858745165,0.0203270256105448,0,0,0,1.27061992330963,2.33403743381266e-10,0.0118693893694709,2.33485866057981e-10,0,0,0,0.000675930131069275,0.000429868843927437
4.6,0.0203270256090466,0.207014169384326,0.0203270256105448,0,0,0,1.28103484071381,8.56546456018056e-07,0.0123244750207148,8.56546536878722e-07,0,0,0,0.000727368355994995,0.000465317124167876
4.8,0.0203270256090466,0.215111379616945,0.0203270256105448,0,0,0,1.29144975811799,5.43730637786975e-06,0.0127721117782197,5.43730645741723e-06,0,0,0,0.000780140065848376,0.000501404882672808
5,0.0201968156396902,0.22314355131421,0.0201968156409898,0,0,0,1.30152568814435,4.5186383337472e-06,0.0132158794052759,4.51863840141096e-06,0,0,0,0.000833688409087949,0.000538923558987935
5.2,0.0200557838730953,0.231111720963387,0.0200557838732911,0,0,0,1.31156789599432,6.2370381672585e-06,0.0136528938419685,6.23703817521741e-06,0,0,0,0.000888410177569432,0.000577082396450705
5.4,0.0198675503878144,0.2390169004705,0.0198675503890114,0,0,0,1.32147957794143,7.89732544155021e-06,0.0140842996375676,7.89732550216492e-06,0,0,0,0.000944111183181987,0.000616083033936494
5.6,0.0195016358376945,0.246860077931526,0.0195016358383455,0,0,0,1.33091057337331,2.30615017533797e-10,0.0145137372868922,2.30646331894624e-10,0,0,0,0.00100020636884455,0.000656861215710468
5.8,0.0192051352198947,0.254642218373581,0.019205135221143,0,0,0,1.34051315053136,3.13648418001633e-10,0.014934906154946,3.13710931364175e-10,0,0,0,0.00105764571026518,0.00069760304419902
6,0.0188689816775072,0.262364264467491,0.0188689816779334,0,0,0,1.34999680775678,4.05683625581688e-10,0.0153508591768248,4.05703807354607e-10,0,0,0,0.0011159443828894,0.000739057664843298
6.2,0.0184951306303502,0.27002713721306,0.0184951306286299,0,0,0,1.35936461873355,5.04623736893861e-10,0.0157617311684929,5.04536817706736e-10,0,0,0,0.00117506648222832,0.000781182534061901
6.4,0.0180854540797646,0.27763173659828,0.0180854540791527,0,0,0,1.3686196056378,6.09520792345386e-10,0.0161676546842635,6.09489646252737e-10,0,0,0,0.00123497817038634,0.000823935988866143
6.6,0.0176417435784422,0.285178942233662,0.0176417435800882,0,0,0,1.37776473595684,7.18420175779833e-10,0.0165687598821476,7.18499169882758e-10,0,0,0,0.00129564752804922,0.000867277256194823
6.8,0.0171657130344606,0.29266961396282,0.0171657130338964,0,0,0,1.38680291949782,8.30230119895636e-10,0.0169651743887426,8.30201874260639e-10,0,0,0,0.00135704441731557,0.000911166459591215
7,0.0166590012847384,0.300104592450338,0.0166590012841294,0,0,0,1.39573700536402,9.43403792585951e-10,0.0173570231684882,9.43373821768456e-10,0,0,0,0.00141914035424958,0.000955564624176889
7.2,0.0161231745477507,0.307484699747961,0.0161231745477525,0,0,0,1.40456977909293,1.05661643063498e-09,0.0177444283977843,1.05661528051332e-09,0,0,0,0.00148190839074727,0.00100043367961579
7.4,0.0155597287364207,0.314810739840034,0.0155597287378933,0,0,0,1.41330395996245,1.16893188531475e-09,0.0181275093460225,1.16899850910457e-09,0,0,0,0.00154532300507419,0.00104573646128643
7.6,0.0149700916633249,0.322083499169113,0.0149700916626145,0,0,0,1.42194219845891,1.27949635435332e-09,0.0185063822654496,1.27946160697473e-09,0,0,0,0.00160936000046517,0.0010914367099199
7.8,0.0143556251483384,0.3293037471426,0.0143556251527832,0,0,0,1.43048707396841,1.38660349001396e-09,0.0188811602908487,1.38680235611116e-09,0,0,0,0.00167399641132655,0.00113749906972352
8,0.0137176271238203,0.336472236621213,0.0137176271221663,0,0,0,1.43894109280802,1.49074108699715e-09,0.0192519533491527,1.49066617296384e-09,0,0,0,0.00173921041670706,0.00118388908476034
8.2,0.0130573335618301,0.343589704390077,0.01305733356319,0,0,0,1.44730668632967,1.58981563937871e-09,0.0196188680827298,1.58987383067771e-09,0,0,0,0.00180498126014186,0.00123057319471121
8.4,0.0123759205180505,0.350656871613169,0.0123759205200307,0,0,0,1.45558620955865,1.68434046137617e-09,0.0199820077824776,1.6844241227526e-09,0,0,0,0.00187128917613933,0.00127751872853335
8.6,0.0116745060004936,0.357674444271816,0.0116745059981591,0,0,0,1.46378193987214,1.7733306281742e-09,0.0203414723362335,1.77322773478594e-09,0,0,0,0.0019381153221239,0.00132469389792767
8.8,0.010954151907672,0.364643113587909,0.0109541519087141,0,0,0,1.47189607619639,1.85696087586645e-09,0.0206973581880093,1.85700335317285e-09,0,0,0,0.0020054417161823,0.00137206778900403
9,0.0102158658932607,0.371563556432483,0.0102158658953579,0,0,0,1.47993073827944,1.93412745021215e-09,0.0210497583125949,1.93421372581687e-09,0,0,0,0.00207325117956211,0.00141961035388783
9.2,0.00946060325852351,0.378436435720245,0.00946060325642691,0,0,0,1.48788796648434,2.00455850356274e-09,0.021398762200975,2.00446968919021e-09,0,0,0,0.00214152728425827,0.00146729240069726
9.4,0.00868926881949317,0.385262400790645,0.00868926881789156,0,0,0,1.49576972180321,2.06954197962822e-09,0.0217444558592725,2.06947430806542e-09,0,0,0,0.00221025430489995,0.00151508558307506
9.6,0.00790271870224613,0.392042087776024,0.00790271870738764,0,0,0,1.5035778859322,2.12715897760646e-09,0.0220869218224604,2.12736689982757e-09,0,0,0,0.00227941717439851,0.00156296239001926
9.8,0.00710176227343081,0.398776119957368,0.00710176226709551,0,0,0,1.51131426206024,2.17927938282042e-09,0.0224262391756618,2.17902110678098e-09,0,0,0,0.00234900144404663,0.00161089613347681
10,0.00628716385720945,0.405465108108164,0.00628716385607176,0,0,0,1.51898057546786,2.22428301124844e-09,0.0227624835915023,2.22423514328884e-09,0,0,0,0.00241899324644534,0.00165886093731158
10.2,0.00545964465598647,0.412109650826833,0.00545964465584271,0,0,0,1.52657847471992,2.26320079430714e-09,0.0230957273748234,2.26319159073174e-09,0,0,0,0.00248937926217596,0.00170683172456555
10.4,0.00461988448474108,0.418710334858185,0.004619884486555,0,0,0,1.53410953286702,2.29581611967816e-09,0.0234260395198471,2.29588429604549e-09,0,0,0,0.00256014668911123,0.00175478420538083
10.6,0.00376852358315817,0.425267735404344,0.00376852358582883,0,0,0,1.541575248971,2.32204737382613e-09,0.0237534857756737,2.32214716899826e-09,0,0,0,0.00263128321461098,0.00180269486431748
10.8,0.0029061644043621,0.431782416425538,0.0029061644094242,0,0,0,1.54897704988333,2.3439059877034e-09,0.0240781287198795,2.3440974387251e-09,0,0,0,0.00270277699028453,0.00185054094734034
11,0.00203337329416578,0.438254930931155,0.0020333732951758,0,0,0,1.5563162918876,2.35943089371693e-09,0.0244000278432937,2.35946550838917e-09,0,0,0,0.00277461660858017,0.00189830045014911
11.2,0.00115068227801969,0.444685821261446,0.00115068228114958,0,0,0,1.56359426298067,2.36867821190589e-09,0.0247192396368619,2.36879219364661e-09,0,0,0,0.00284679108211871,0.00194595210450078
11.4,0.000258590774999863,0.451075619360217,0.000258590772462771,0,0,0,1.57081218503497,2.37411733848558e-09,0.0250358176874984,2.37401803250548e-09,0,0,0,0.00291928982452441,0.00199347536574488
11.6,-0.000642432828203632,0.457424847038875,-0.000642432829366005,0,0,0,1.57797121589766,2.37395020308284e-09,0.0253498127814182,2.37390277747773e-09,0,0,0,0.00299210263270004,0.00204085040137044
11.8,-0.00155194944514489,0.46373401623214,-0.00155194944357382,0,0,0,1.58507245202835,2.36917180318486e-09,0.0256612730075665,2.36922509909421e-09,0,0,0,0.00306521967122232,0.00208805807783671
12,-0.0024695477326388,0.470003629245736,-0.00246954772960496,0,0,0,1.59211693090121,2.3604131513949e-09,0.0259702438683943,2.36051973800944e-09,0,0,0,0.00313863145766229,0.00213507994908399
12.2,-0.00339484253114736,0.476234178996372,-0.00339484252954287,0,0,0,1.59910563356314,2.34755508435325e-09,0.0262767683929149,2.34760940201473e-09,0,0,0,0.00321232884925181,0.00218189824495364
12.4,-0.00432747333589623,0.482426149244293,-0.00432747333274156,0,0,0,1.60603948728948,2.33031802535089e-09,0.0265808872517719,2.33042657914184e-09,0,0,0,0.00328630303070011,0.00222849585972232
12.6,-0.00526710279058931,0.488580014818671,-0.00526710279044723,0,0,0,1.61291936829793,2.30984168771153e-09,0.0268826388738654,2.30984019931879e-09,0,0,0,0.00336054550300285,0.00227485634086612
12.8,-0.00621341528480172,0.494696241836107,-0.00621341528911545,0,0,0,1.61974610436706,2.28613213602846e-09,0.0271820595654324,2.2859745832382e-09,0,0,0,0.00343504807295683,0.00232096387873234
13,-0.00716611555104594,0.500775287912489,-0.00716611554765487,0,0,0,1.62652047757282,2.25887165916649e-09,0.02747918362849,2.25898236748401e-09,0,0,0,0.00350980284357071,0.00236680329606444
13.2,-0.00812492728968052,0.506817602368452,-0.00812492728781949,0,0,0,1.6332432270116,2.22865407205342e-09,0.0277740434793649,2.22870971157418e-09,0,0,0,0.00358480220512178,0.00241236003793363
13.4,-0.00908959190411948,0.512823626428664,-0.00908959189738611,0,0,0,1.63991505149748,2.19584006533324e-09,0.0280666697667755,2.19606365037261e-09,0,0,0,0.00366003882677544,0.00245762016207442
13.6,-0.0100598672206876,0.518793793415168,-0.010059867223731,0,0,0,1.64653661220575,2.16112869093343e-09,0.0283570914891988,2.16101668330804e-09,0,0,0,0.00373550564867191,0.00250257032971301
13.8,-0.0110355263376456,0.524728528934982,-0.0110355263341517,0,0,0,1.6531085352854,2.12340452165893e-09,0.0286453361106965,2.12351650673293e-09,0,0,0,0.0038111958744528,0.00254719779671599
14,-0.0120163563915857,0.53062825106217,-0.012016356396513,0,0,0,1.65963141452964,2.08389072317572e-09,0.0289314296736591,2.0837203750651e-09,0,0,0,0.00388710296427515,0.00259149040454798
14.2,-0.0130021575316534,0.536493370514568,-0.0130021575366494,0,0,0,1.66610581385506,2.04250688064234e-09,0.0292153969108398,2.04233641630525e-09,0,0,0,0.00396322062797697,0.00263543657221341
14.4,-0.0139927418264056,0.542324290825362,-0.0139927418245865,0,0,0,1.67253226978408,1.99929341658522e-09,0.0294972613540866,1.99934966846338e-09,0,0,0,0.00403954281858322,0.00267902528817573
14.6,-0.0149879322670484,0.548121408509688,-0.0149879322655533,0,0,0,1.67891129385872,1.95424006491085e-09,0.0297770454401202,1.95428317625868e-09,0,0,0,0.00411606372602989,0.00272224610251481
14.8,-0.0159875618219221,0.553885113226438,-0.0159875618181987,0,0,0,1.68524337501705,1.90767313751339e-09,0.030054770612786,1.90778850009399e-09,0,0,0,0.00419277777110641,0.00276508911915124
15,-0.0169914725227129,0.559615787935423,-0.0169914725243126,0,0,0,1.69152898181687,1.85990638515432e-09,0.0303304574227335,1.85984802385242e-09,0,0,0,0.0042696795994651,0.0028075449886317
15.2,-0.0179995146252642,0.565313809050061,-0.017999514619616,0,0,0,1.69776856464702,1.81128752795023e-09,0.0306041256226693,1.81146160918577e-09,0,0,0,0.00434676407582338,0.00284960490071932
15.4,-0.0190115457854781,0.570979546585738,-0.0190115457906866,0,0,0,1.70396255774194,1.76129188837748e-09,0.0308757942601526,1.76111709764004e-09,0,0,0,0.00442402627814695,0.00289126057769096
15.6,-0.0200274303186421,0.576613364303994,-0.0200274303165466,0,0,0,1.71011138132101,1.71038988007466e-09,0.0311454817639018,1.71044797249442e-09,0,0,0,0.0045014614921183,0.00293250426660781
15.8,-0.0210470384624614,0.582215619852664,-0.0210470384566984,0,0,0,1.71621544336833,1.65834984286461e-09,0.0314132060292605,1.65852452951865e-09,0,0,0,0.00457906520539119,0.00297332873304736
16,-0.0220702457195447,0.587786664902119,-0.0220702457159877,0,0,0,1.72227514154667,1.60565797636958e-09,0.0316789844968157,1.60576335388185e-09,0,0,0,0.00465683310210719,0.00301372725367353
16.2,-0.0230969322329974,0.593326845277734,-0.0230969322346822,0,0,0,1.72829086489703,1.55312345449798e-09,0.0319428342281948,1.55306523544341e-09,0,0,0,0.00473476105731925,0.00305369360940772
16.4,-0.0241269822371988,0.598836501088704,-0.0241269822351009,0,0,0,1.73426299536167,1.49893344091045e-09,0.0322047719786382,1.498991302612e-09,0,0,0,0.00481284513136496,0.0030932220790084
