t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,-0.00994479863266059,0.00995033085316809,0,0,0,0,1.00000553223581,1.77466548401117e-14,0.00162315228341262,0.000803286342987386,0,0,0,2.89568937963366e-06,5.17529342513747e-06
0.4,-0.0197916617713409,0.0198026272961797,0,0,0,0,1.00001096558496,1.38298660717906e-14,0.00322789102858625,0.00158161453507451,0,0,0,1.1469378938241e-05,2.04599235945593e-05
0.6,-0.0295425031967517,0.0295588022415444,0,0,0,0,1.00001629917762,1.46861689476196e-14,0.00481358098847278,0.00233523831692252,0,0,0,2.55563347503379e-05,4.54863700144857e-05
0.8,-0.0391991806437762,0.0392207131532813,0,0,0,0,1.00002153274133,5.88765147746528e-15,0.00637975561718315,0.0030645047307281,0,0,0,4.49986493882056e-05,7.98836785255267e-05
1,-0.048763498008019,0.048790164169432,0,0,0,0,1.00002666651696,2.45055711833864e-14,0.00792609677377169,0.00376983756414643,0,0,0,6.96449060868039e-05,0.000123280841770294
1.2,-0.0582372073951958,0.0582689081239758,0,0,0,0,1.00003170123125,-7.3448191972858e-15,0.00945243025870452,0.00445172976904424,0,0,0,9.93498662066793e-05,0.000175309320568138
1.4,-0.067622011067279,0.0676586484738149,0,0,0,0,1.00003663807769,-9.88185228090188e-15,0.0109587233726174,0.00511073750385723,0,0,0,0.000133974177864292,0.00023560512687343
1.6,-0.0769195633017363,0.0769610411361284,0,0,0,0,1.00004147869461,1.84661314017731e-14,0.0124450813265717,0.00574747412912107,0,0,0,0.000173384103765935,0.000303810597497531
1.8,-0.086131472171679,0.0861776962410524,0,0,0,0,1.00004622513772,1.2792718273591e-14,0.013911741665048,0.00636260373991074,0,0,0,0.000217451266468066,0.000379575906951706
2,-0.0952593012517682,0.0953101798043249,0,0,0,0,1.00005087984689,-2.59098298371896e-14,0.0153590666278867,0.00695683421902117,0,0,0,0.000266052409466618,0.000462560340002094
2.2,-0.104304571253411,0.104360015324243,0,0,0,0,1.00005544560788,-8.11677114409548e-15,0.0167875336776047,0.00753090993986677,0,0,0,0.00031906917268276,0.000552433335116126
2.4,-0.113268761592123,0.113328685307003,0,0,0,0,1.00005992551034,-1.66533453693773e-16,0.0181977245397747,0.00808560429601067,0,0,0,0.000376387881063494,0.000648875307857557
2.6,-0.122153311889585,0.122217632724249,0,0,0,0,1.00006432290329,9.32760813032729e-15,0.0195903131441862,0.00862171224023666,0,0,0,0.000437899345151224,0.000751578264131977
2.8,-0.130959623412708,0.131028262406404,0,0,0,0,1.00006864134941,3.16933979060963e-15,0.0209660528499518,0.00914004299950988,0,0,0,0.000503498672598739,0.000860246215085366
3,-0.139689060451944,0.139761942375159,0,0,0,0,1.00007288457917,2.34291752665428e-14,0.0223257633131411,0.00964141310923263,0,0,0,0.000573085089715503,0.00097459540751465
3.2,-0.14834295164101,0.148420005118273,0,0,0,0,1.00007705644596,-3.76608466634565e-15,0.0236703173162196,0.010126639881358,0,0,0,0.000646561772228535,0.00109435438543455
3.4,-0.156922591220155,0.157003748809665,0,0,0,0,1.00008116088288,-1.65839564303383e-15,0.0250006278353747,0.0105965353939028,0,0,0,0.000723835684528491,0.0012192638997738
3.6,-0.165429240245133,0.165514438477573,0,0,0,0,1.00008520186191,3.09127723419067e-15,0.0263176355738764,0.0110519010610981,0,0,0,0.000804817426748479,0.00134907668399328
3.8,-0.173864127743979,0.173953307123438,0,0,0,0,1.00008918335606,2.91919266537377e-14,0.0276222971459981,0.011493522821259,0,0,0,0.000889421089092204,0.00148355711374284
4,-0.182228451823732,0.182321556793955,0,0,0,0,1.00009310930462,1.10605968828281e-14,0.0289155740514871,0.0119221669569416,0,0,0,0.000977564112888614,0.00162248076855665
4.2,-0.190523380729201,0.19062035960865,0,0,0,0,1.00009698358205,3.19189119579733e-16,0.0301984225426007,0.0123385765456552,0,0,0,0.00106916715790475,0.00176563391309987
4.4,-0.19875005385585,0.198850858745165,0,0,0,0,1.0001008099703,1.74860126378462e-15,0.0314717844494746,0.0127434685237812,0,0,0,0.00116415397549588,0.00191281291469478
4.6,-0.206909582718871,0.207014169384326,0,0,0,0,1.00010459213483,6.08367523025066e-15,0.0327365790004918,0.0131375313364005,0,0,0,0.00126245128721506,0.00206382361284959
4.8,-0.215003051880447,0.215111379616945,0,0,0,0,1.00010833360416,1.79960213397834e-14,0.0339936956478225,0.013521423136572,0,0,0,0.00136398866854172,0.00221848065534976
5,-0.223031519837168,0.22314355131421,0,0,0,0,1.0001120377528,1.14179499188793e-14,0.0352439878871417,0.0138957704918513,0,0,0,0.00146869843742216,0.00237660681421262
5.2,-0.23099601986952,0.231111720963387,0,0,0,0,1.0001157077875,-1.90507332131773e-14,0.0364882680436381,0.0142611675523359,0,0,0,0.00157651554734481,0.00253803229349679
5.4,-0.238897560855286,0.2390169004705,0,0,0,0,1.00011934673647,2.05495342964213e-14,0.037727302982848,0.0146181756323693,0,0,0,0.00168737748469913,0.00270259403963995
5.6,-0.24673712804865,0.246860077931526,0,0,0,0,1.00012295744152,-7.38298311375729e-15,0.0389618106945144,0.0149673231572458,0,0,0,0.00180122417019034,0.00287013506370296
5.8,-0.254515683826699,0.254642218373581,0,0,0,0,1.00012654255272,5.78356806890667e-15,0.0401924576923243,0.0153091059286845,0,0,0,0.00191799786410289,0.00304050378364682
6,-0.262234168404982,0.262364264467491,0,0,0,0,1.00013010452537,1.31561428418081e-14,0.0414198571649902,0.015643987661641,0,0,0,0.00203764307522371,0.00321355339358108
6.2,-0.269893500523676,0.27002713721306,0,0,0,0,1.00013364561916,4.97171748214953e-15,0.0426445678149653,0.0159724007505851,0,0,0,0.00216010647325253,0.00338914126580602
6.4,-0.277494578105843,0.27763173659828,0,0,0,0,1.00013716789909,9.78730985146115e-15,0.0438670933182278,0.0162947472240079,0,0,0,0.00228533680454084,0.00356712839043528
6.6,-0.285038278889207,0.285178942233662,0,0,0,0,1.00014067323801,1.15740750317173e-14,0.0450878823402864,0.0166113998500274,0,0,0,0.0024132848110136,0.00374737885643167
6.8,-0.292525461032776,0.29266961396282,0,0,0,0,1.00014416332058,-9.36750677027476e-17,0.0463073290455949,0.0169227033594705,0,0,0,0.00254390315213921,0.00392975937701785
